member_id,member_name,gender,age,membership_type,preferred_facility,join_date,expiry_date,status
M00334,Member 334,Female,25,Quarterly,Basketball,2025-02-23,2025-05-24,Expired
M00335,Member 335,Male,50,Monthly,Badminton,2026-03-20,2026-04-19,Expired
M00336,Member 336,Male,44,Monthly,Badminton,2025-09-21,2025-10-21,Expired
M00337,Member 337,Male,30,Monthly,Gym,2025-02-22,2025-03-24,Expired
M00338,Member 338,Male,48,Quarterly,Football,2026-07-26,2026-10-24,Active
M00339,Member 339,Female,22,Monthly,Swimming Pool,2025-01-05,2025-02-04,Expired
M00340,Member 340,Male,27,Monthly,Football,2025-04-13,2025-05-13,Expired
M00341,Member 341,Male,64,Quarterly,Football,2025-07-15,2025-10-13,Expired
M00342,Member 342,Female,45,Monthly,Gym,2025-12-16,2026-01-15,Expired
M00343,Member 343,Female,36,Monthly,Gym,2025-02-16,2025-03-18,Expired
M00344,Member 344,Male,46,Monthly,Gym,2025-09-26,2025-10-26,Expired
M00345,Member 345,Male,39,Annual,Basketball,2026-01-05,2027-01-05,Active
M00346,Member 346,Female,35,Quarterly,Football,2025-04-16,2025-07-15,Expired
M00347,Member 347,Male,52,Monthly,Badminton,2025-04-30,2025-05-30,Expired
M00348,Member 348,Male,19,Monthly,Swimming Pool,2026-08-27,2026-09-26,Active
M00349,Member 349,Male,43,Annual,Basketball,2025-02-27,2026-02-27,Expired
M00350,Member 350,Female,59,Quarterly,Badminton,2025-12-12,2026-03-12,Expired
M00351,Member 351,Female,35,Monthly,Football,2026-04-19,2026-05-19,Expired
M00352,Member 352,Male,39,Annual,Gym,2025-04-27,2026-04-27,Expired
M00353,Member 353,Male,65,Monthly,Football,2025-05-07,2025-06-06,Expired
M00354,Member 354,Male,64,Monthly,Swimming Pool,2026-01-28,2026-02-27,Expired
M00355,Member 355,Female,47,Quarterly,Basketball,2025-02-27,2025-05-28,Expired
M00356,Member 356,Male,56,Monthly,Basketball,2026-05-28,2026-06-27,Expired
M00357,Member 357,Male,51,Annual,Swimming Pool,2025-04-06,2026-04-06,Expired
M00358,Member 358,Female,49,Quarterly,Badminton,2025-04-28,2025-07-27,Expired
M00359,Member 359,Male,51,Quarterly,Badminton,2026-07-14,2026-10-12,Active
M00360,Member 360,Female,17,Monthly,Basketball,2026-08-24,2026-09-23,Active
M00361,Member 361,Male,30,Monthly,Basketball,2026-05-03,2026-06-02,Expired
M00362,Member 362,Male,49,Monthly,Gym,2025-08-25,2025-09-24,Expired
M00363,Member 363,Male,51,Quarterly,Badminton,2025-09-29,2025-12-28,Expired
M00364,Member 364,Female,21,Monthly,Swimming Pool,2025-07-08,2025-08-07,Expired
M00365,Member 365,Female,54,Monthly,Badminton,2026-03-23,2026-04-22,Expired
M00366,Member 366,Female,57,Quarterly,Gym,2026-08-04,2026-11-02,Active
M00367,Member 367,Male,27,Monthly,Basketball,2025-09-04,2025-10-04,Expired
M00368,Member 368,Female,18,Quarterly,Basketball,2025-03-17,2025-06-15,Expired
M00369,Member 369,Male,60,Monthly,Gym,2025-06-03,2025-07-03,Expired
M00370,Member 370,Male,33,Annual,Swimming Pool,2026-03-11,2027-03-11,Active
M00371,Member 371,Female,55,Monthly,Basketball,2025-03-27,2025-04-26,Expired
M00372,Member 372,Male,36,Monthly,Football,2025-10-12,2025-11-11,Expired
M00373,Member 373,Male,30,Monthly,Basketball,2025-08-08,2025-09-07,Expired
M00374,Member 374,Male,48,Monthly,Football,2025-03-10,2025-04-09,Expired
M00375,Member 375,Male,50,Quarterly,Gym,2025-02-16,2025-05-17,Expired
M00376,Member 376,Male,41,Quarterly,Gym,2025-04-04,2025-07-03,Expired
M00377,Member 377,Female,23,Quarterly,Basketball,2026-03-29,2026-06-27,Expired
M00378,Member 378,Male,51,Monthly,Badminton,2025-07-23,2025-08-22,Expired
M00379,Member 379,Female,63,Monthly,Football,2025-08-06,2025-09-05,Expired
M00380,Member 380,Female,45,Monthly,Swimming Pool,2026-04-19,2026-05-19,Expired
M00381,Member 381,Male,38,Quarterly,Basketball,2026-03-08,2026-06-06,Expired
M00382,Member 382,Male,57,Annual,Swimming Pool,2025-12-07,2026-12-07,Active
M00383,Member 383,Male,59,Monthly,Basketball,2026-07-05,2026-08-04,Expired
M00384,Member 384,Female,29,Monthly,Badminton,2025-10-16,2025-11-15,Expired
M00385,Member 385,Male,29,Quarterly,Badminton,2025-09-11,2025-12-10,Expired
M00386,Member 386,Female,17,Annual,Badminton,2025-12-23,2026-12-23,Active
M00387,Member 387,Male,52,Quarterly,Badminton,2025-01-23,2025-04-23,Expired
M00388,Member 388,Female,20,Annual,Gym,2026-06-06,2027-06-06,Active
M00389,Member 389,Male,53,Monthly,Gym,2025-04-10,2025-05-10,Expired
M00390,Member 390,Male,60,Monthly,Football,2025-06-29,2025-07-29,Expired
M00391,Member 391,Female,56,Annual,Swimming Pool,2025-08-11,2026-08-11,Expired
M00392,Member 392,Female,62,Quarterly,Basketball,2026-03-18,2026-06-16,Expired
M00393,Member 393,Male,29,Monthly,Basketball,2026-08-31,2026-09-30,Active
M00394,Member 394,Female,54,Quarterly,Gym,2025-11-21,2026-02-19,Expired
M00395,Member 395,Male,40,Annual,Basketball,2026-05-31,2027-05-31,Active
M00396,Member 396,Female,35,Quarterly,Gym,2025-01-16,2025-04-16,Expired
M00397,Member 397,Female,17,Quarterly,Football,2025-12-02,2026-03-02,Expired
M00398,Member 398,Male,54,Monthly,Swimming Pool,2025-09-15,2025-10-15,Expired
M00399,Member 399,Male,21,Monthly,Football,2026-05-12,2026-06-11,Expired
M00400,Member 400,Male,32,Monthly,Badminton,2025-06-09,2025-07-09,Expired
M00401,Member 401,Male,40,Annual,Badminton,2026-04-20,2027-04-20,Active
M00402,Member 402,Female,43,Annual,Badminton,2026-01-15,2027-01-15,Active
M00403,Member 403,Male,17,Annual,Football,2026-06-29,2027-06-29,Active
M00404,Member 404,Male,50,Monthly,Basketball,2026-03-03,2026-04-02,Expired
M00405,Member 405,Female,52,Quarterly,Swimming Pool,2025-09-25,2025-12-24,Expired
M00406,Member 406,Female,20,Quarterly,Badminton,2026-07-31,2026-10-29,Active
M00407,Member 407,Male,16,Quarterly,Badminton,2026-02-21,2026-05-22,Expired
M00408,Member 408,Male,55,Quarterly,Badminton,2025-06-17,2025-09-15,Expired
M00409,Member 409,Male,27,Annual,Swimming Pool,2025-02-12,2026-02-12,Expired
M00410,Member 410,Male,51,Monthly,Badminton,2026-07-10,2026-08-09,Expired
M00411,Member 411,Female,60,Monthly,Swimming Pool,2025-10-12,2025-11-11,Expired
M00412,Member 412,Male,38,Monthly,Badminton,2026-02-01,2026-03-03,Expired
M00413,Member 413,Female,62,Monthly,Football,2025-01-12,2025-02-11,Expired
M00414,Member 414,Male,46,Quarterly,Football,2026-08-30,2026-11-28,Active
M00415,Member 415,Female,26,Quarterly,Swimming Pool,2025-10-29,2026-01-27,Expired
M00416,Member 416,Female,25,Monthly,Football,2025-09-10,2025-10-10,Expired
M00417,Member 417,Female,18,Monthly,Swimming Pool,2026-05-14,2026-06-13,Expired
M00418,Member 418,Male,29,Quarterly,Football,2025-02-04,2025-05-05,Expired
M00419,Member 419,Male,31,Monthly,Football,2025-03-31,2025-04-30,Expired
M00420,Member 420,Male,25,Monthly,Swimming Pool,2026-08-28,2026-09-27,Active
M00421,Member 421,Female,44,Monthly,Basketball,2026-08-25,2026-09-24,Active
M00422,Member 422,Female,25,Monthly,Football,2026-02-22,2026-03-24,Expired
M00423,Member 423,Female,27,Monthly,Badminton,2025-04-25,2025-05-25,Expired
M00424,Member 424,Female,45,Monthly,Basketball,2025-07-15,2025-08-14,Expired
M00425,Member 425,Female,56,Monthly,Swimming Pool,2026-05-16,2026-06-15,Expired
M00426,Member 426,Male,16,Annual,Basketball,2026-05-08,2027-05-08,Active
M00427,Member 427,Female,20,Monthly,Gym,2025-03-16,2025-04-15,Expired
M00428,Member 428,Male,35,Quarterly,Gym,2026-02-17,2026-05-18,Expired
M00429,Member 429,Male,23,Monthly,Football,2026-01-11,2026-02-10,Expired
M00430,Member 430,Male,58,Monthly,Football,2026-02-24,2026-03-26,Expired
M00431,Member 431,Male,27,Quarterly,Badminton,2025-10-04,2026-01-02,Expired
M00432,Member 432,Male,16,Monthly,Basketball,2026-01-29,2026-02-28,Expired
M00433,Member 433,Female,35,Monthly,Gym,2026-04-02,2026-05-02,Expired
M00434,Member 434,Male,43,Quarterly,Football,2025-07-11,2025-10-09,Expired
M00435,Member 435,Female,58,Quarterly,Basketball,2025-04-09,2025-07-08,Expired
M00436,Member 436,Male,52,Monthly,Football,2026-07-02,2026-08-01,Expired
M00437,Member 437,Male,62,Monthly,Football,2025-04-06,2025-05-06,Expired
M00438,Member 438,Male,52,Quarterly,Gym,2025-07-09,2025-10-07,Expired
M00439,Member 439,Male,27,Monthly,Gym,2025-02-06,2025-03-08,Expired
M00440,Member 440,Female,52,Quarterly,Football,2026-01-04,2026-04-04,Expired
M00441,Member 441,Male,64,Quarterly,Swimming Pool,2026-06-09,2026-09-07,Active
M00442,Member 442,Female,64,Annual,Football,2025-10-06,2026-10-06,Active
M00443,Member 443,Male,59,Monthly,Football,2025-08-05,2025-09-04,Expired
M00444,Member 444,Female,43,Annual,Badminton,2025-09-30,2026-09-30,Active
M00445,Member 445,Female,62,Monthly,Badminton,2025-03-03,2025-04-02,Expired
M00446,Member 446,Female,30,Monthly,Badminton,2026-08-19,2026-09-18,Active
M00447,Member 447,Male,21,Monthly,Swimming Pool,2025-12-08,2026-01-07,Expired
M00448,Member 448,Male,59,Quarterly,Swimming Pool,2026-02-01,2026-05-02,Expired
M00449,Member 449,Male,35,Monthly,Football,2025-01-19,2025-02-18,Expired
M00450,Member 450,Female,65,Monthly,Badminton,2025-06-26,2025-07-26,Expired
M00451,Member 451,Male,29,Monthly,Swimming Pool,2026-01-31,2026-03-02,Expired
M00452,Member 452,Male,17,Annual,Gym,2026-03-21,2027-03-21,Active
M00453,Member 453,Female,24,Quarterly,Football,2025-08-21,2025-11-19,Expired
M00454,Member 454,Male,52,Quarterly,Basketball,2025-03-17,2025-06-15,Expired
M00455,Member 455,Female,35,Monthly,Football,2025-09-22,2025-10-22,Expired
M00456,Member 456,Male,41,Monthly,Basketball,2026-03-31,2026-04-30,Expired
M00457,Member 457,Male,44,Quarterly,Badminton,2026-01-19,2026-04-19,Expired
M00458,Member 458,Female,16,Monthly,Basketball,2026-07-18,2026-08-17,Expired
M00459,Member 459,Male,50,Monthly,Badminton,2026-05-21,2026-06-20,Expired
M00460,Member 460,Female,21,Quarterly,Gym,2026-01-02,2026-04-02,Expired
M00461,Member 461,Male,52,Annual,Basketball,2025-05-24,2026-05-24,Expired
M00462,Member 462,Male,20,Quarterly,Football,2025-03-10,2025-06-08,Expired
M00463,Member 463,Female,48,Quarterly,Badminton,2025-04-09,2025-07-08,Expired
M00464,Member 464,Female,64,Annual,Football,2026-01-31,2027-01-31,Active
M00465,Member 465,Female,29,Monthly,Swimming Pool,2025-01-25,2025-02-24,Expired
M00466,Member 466,Male,27,Quarterly,Badminton,2026-04-14,2026-07-13,Expired
M00467,Member 467,Female,57,Annual,Basketball,2026-04-29,2027-04-29,Active
M00468,Member 468,Male,35,Monthly,Badminton,2026-07-19,2026-08-18,Expired
M00469,Member 469,Male,65,Quarterly,Football,2025-05-31,2025-08-29,Expired
M00470,Member 470,Female,39,Quarterly,Gym,2025-05-24,2025-08-22,Expired
M00471,Member 471,Male,58,Quarterly,Badminton,2026-07-23,2026-10-21,Active
M00472,Member 472,Female,49,Quarterly,Basketball,2025-02-08,2025-05-09,Expired
M00473,Member 473,Male,40,Annual,Swimming Pool,2025-04-19,2026-04-19,Expired
M00474,Member 474,Male,65,Quarterly,Gym,2025-02-11,2025-05-12,Expired
M00475,Member 475,Male,44,Monthly,Swimming Pool,2025-07-05,2025-08-04,Expired
M00476,Member 476,Female,54,Annual,Badminton,2026-02-02,2027-02-02,Active
M00477,Member 477,Female,46,Monthly,Football,2025-08-11,2025-09-10,Expired
M00478,Member 478,Female,62,Monthly,Football,2025-05-13,2025-06-12,Expired
M00479,Member 479,Female,58,Monthly,Basketball,2025-06-12,2025-07-12,Expired
M00480,Member 480,Female,65,Monthly,Football,2025-08-03,2025-09-02,Expired
M00481,Member 481,Female,38,Monthly,Gym,2025-08-23,2025-09-22,Expired
M00482,Member 482,Male,59,Annual,Football,2026-08-11,2027-08-11,Active
M00483,Member 483,Male,53,Quarterly,Basketball,2025-01-09,2025-04-09,Expired
M00484,Member 484,Male,35,Quarterly,Badminton,2025-03-15,2025-06-13,Expired
M00485,Member 485,Female,38,Monthly,Badminton,2026-05-07,2026-06-06,Expired
M00486,Member 486,Female,60,Annual,Football,2025-09-10,2026-09-10,Active
M00487,Member 487,Male,31,Annual,Swimming Pool,2025-08-18,2026-08-18,Expired
M00488,Member 488,Female,65,Quarterly,Badminton,2026-06-03,2026-09-01,Active
M00489,Member 489,Female,57,Monthly,Football,2025-06-23,2025-07-23,Expired
M00490,Member 490,Male,23,Monthly,Basketball,2025-06-17,2025-07-17,Expired
M00491,Member 491,Female,65,Monthly,Football,2025-06-19,2025-07-19,Expired
M00492,Member 492,Female,36,Monthly,Badminton,2026-01-28,2026-02-27,Expired
M00493,Member 493,Male,16,Monthly,Basketball,2025-07-13,2025-08-12,Expired
M00494,Member 494,Female,23,Annual,Football,2026-06-01,2027-06-01,Active
M00495,Member 495,Male,44,Monthly,Gym,2025-01-29,2025-02-28,Expired
M00496,Member 496,Female,47,Monthly,Basketball,2025-06-14,2025-07-14,Expired
M00497,Member 497,Female,53,Monthly,Gym,2026-02-26,2026-03-28,Expired
M00498,Member 498,Female,20,Monthly,Swimming Pool,2025-12-05,2026-01-04,Expired
M00499,Member 499,Male,62,Monthly,Basketball,2026-05-11,2026-06-10,Expired
M00500,Member 500,Female,37,Monthly,Gym,2025-12-31,2026-01-30,Expired
M00501,Member 501,Female,62,Monthly,Badminton,2025-12-08,2026-01-07,Expired
M00502,Member 502,Male,49,Quarterly,Badminton,2026-05-15,2026-08-13,Expired
M00503,Member 503,Female,16,Annual,Swimming Pool,2026-05-26,2027-05-26,Active
M00504,Member 504,Male,41,Monthly,Basketball,2025-11-23,2025-12-23,Expired
M00505,Member 505,Female,58,Monthly,Basketball,2025-08-05,2025-09-04,Expired
M00506,Member 506,Male,25,Annual,Basketball,2025-10-28,2026-10-28,Active
M00507,Member 507,Male,45,Monthly,Swimming Pool,2025-05-12,2025-06-11,Expired
M00508,Member 508,Male,65,Monthly,Basketball,2025-03-11,2025-04-10,Expired
M00509,Member 509,Female,33,Annual,Badminton,2025-09-09,2026-09-09,Active
M00510,Member 510,Male,32,Monthly,Gym,2026-02-19,2026-03-21,Expired
M00511,Member 511,Female,41,Quarterly,Badminton,2026-03-21,2026-06-19,Expired
M00512,Member 512,Male,23,Quarterly,Badminton,2025-07-01,2025-09-29,Expired
M00513,Member 513,Male,62,Monthly,Gym,2025-06-16,2025-07-16,Expired
M00514,Member 514,Male,55,Monthly,Badminton,2025-04-01,2025-05-01,Expired
M00515,Member 515,Female,64,Quarterly,Swimming Pool,2026-06-15,2026-09-13,Active
M00516,Member 516,Male,27,Monthly,Gym,2025-02-08,2025-03-10,Expired
M00517,Member 517,Female,42,Monthly,Badminton,2025-05-06,2025-06-05,Expired
M00518,Member 518,Female,23,Quarterly,Football,2026-03-27,2026-06-25,Expired
M00519,Member 519,Female,40,Monthly,Badminton,2025-06-22,2025-07-22,Expired
M00520,Member 520,Male,61,Monthly,Swimming Pool,2025-08-08,2025-09-07,Expired
M00521,Member 521,Male,19,Annual,Basketball,2025-02-27,2026-02-27,Expired
M00522,Member 522,Female,48,Monthly,Badminton,2026-04-21,2026-05-21,Expired
M00523,Member 523,Male,16,Annual,Basketball,2026-04-01,2027-04-01,Active
M00524,Member 524,Female,34,Quarterly,Football,2025-12-27,2026-03-27,Expired
M00525,Member 525,Male,46,Quarterly,Badminton,2025-01-01,2025-04-01,Expired
M00526,Member 526,Female,31,Monthly,Gym,2026-01-22,2026-02-21,Expired
M00527,Member 527,Female,29,Annual,Basketball,2025-12-14,2026-12-14,Active
M00528,Member 528,Female,63,Monthly,Football,2025-07-09,2025-08-08,Expired
M00529,Member 529,Male,20,Quarterly,Gym,2026-05-20,2026-08-18,Expired
M00530,Member 530,Female,56,Monthly,Gym,2025-07-10,2025-08-09,Expired
M00531,Member 531,Male,41,Monthly,Gym,2026-05-23,2026-06-22,Expired
M00532,Member 532,Male,43,Monthly,Gym,2026-01-04,2026-02-03,Expired
M00533,Member 533,Female,17,Annual,Badminton,2026-02-13,2027-02-13,Active
M00534,Member 534,Female,65,Annual,Badminton,2025-04-27,2026-04-27,Expired
M00535,Member 535,Female,21,Monthly,Badminton,2025-05-14,2025-06-13,Expired
M00536,Member 536,Female,24,Monthly,Football,2025-02-27,2025-03-29,Expired
M00537,Member 537,Male,48,Quarterly,Football,2026-07-10,2026-10-08,Active
M00538,Member 538,Male,56,Monthly,Football,2025-06-22,2025-07-22,Expired
M00539,Member 539,Female,40,Monthly,Swimming Pool,2025-05-29,2025-06-28,Expired
M00540,Member 540,Male,63,Quarterly,Football,2025-03-21,2025-06-19,Expired
M00541,Member 541,Male,28,Monthly,Badminton,2025-08-01,2025-08-31,Expired
M00542,Member 542,Male,24,Annual,Badminton,2025-07-22,2026-07-22,Expired
M00543,Member 543,Male,28,Monthly,Swimming Pool,2025-08-17,2025-09-16,Expired
M00544,Member 544,Male,46,Monthly,Swimming Pool,2025-08-15,2025-09-14,Expired
M00545,Member 545,Male,56,Monthly,Football,2026-06-16,2026-07-16,Expired
M00546,Member 546,Male,26,Quarterly,Basketball,2026-03-17,2026-06-15,Expired
M00547,Member 547,Male,19,Monthly,Swimming Pool,2026-02-06,2026-03-08,Expired
M00548,Member 548,Female,49,Quarterly,Gym,2025-02-16,2025-05-17,Expired
M00549,Member 549,Male,53,Monthly,Badminton,2025-08-21,2025-09-20,Expired
M00550,Member 550,Male,61,Annual,Gym,2025-11-01,2026-11-01,Active
M00551,Member 551,Female,19,Monthly,Badminton,2026-06-10,2026-07-10,Expired
M00552,Member 552,Male,53,Monthly,Badminton,2025-05-23,2025-06-22,Expired
M00553,Member 553,Female,34,Quarterly,Swimming Pool,2026-02-19,2026-05-20,Expired
M00554,Member 554,Female,21,Monthly,Swimming Pool,2026-05-28,2026-06-27,Expired
M00555,Member 555,Male,49,Monthly,Gym,2026-01-08,2026-02-07,Expired
M00556,Member 556,Male,33,Annual,Badminton,2026-07-20,2027-07-20,Active
M00557,Member 557,Female,28,Monthly,Gym,2025-09-16,2025-10-16,Expired
M00558,Member 558,Female,56,Quarterly,Basketball,2026-04-16,2026-07-15,Expired
M00559,Member 559,Male,38,Monthly,Gym,2025-01-12,2025-02-11,Expired
M00560,Member 560,Female,34,Quarterly,Football,2025-11-26,2026-02-24,Expired
M00561,Member 561,Male,60,Monthly,Gym,2025-12-24,2026-01-23,Expired
M00562,Member 562,Female,26,Monthly,Football,2026-02-12,2026-03-14,Expired
M00563,Member 563,Male,16,Annual,Football,2026-01-08,2027-01-08,Active
M00564,Member 564,Female,39,Quarterly,Football,2025-01-08,2025-04-08,Expired
M00565,Member 565,Female,22,Monthly,Basketball,2025-05-02,2025-06-01,Expired
M00566,Member 566,Female,40,Monthly,Gym,2025-12-14,2026-01-13,Expired
M00567,Member 567,Male,36,Annual,Gym,2025-03-31,2026-03-31,Expired
M00568,Member 568,Male,30,Monthly,Basketball,2025-11-12,2025-12-12,Expired
M00569,Member 569,Male,16,Quarterly,Badminton,2025-06-27,2025-09-25,Expired
M00570,Member 570,Male,27,Quarterly,Swimming Pool,2026-06-24,2026-09-22,Active
M00571,Member 571,Male,22,Monthly,Gym,2025-02-10,2025-03-12,Expired
M00572,Member 572,Female,30,Monthly,Swimming Pool,2026-05-17,2026-06-16,Expired
M00573,Member 573,Male,36,Quarterly,Basketball,2025-05-25,2025-08-23,Expired
M00574,Member 574,Male,34,Monthly,Badminton,2025-07-20,2025-08-19,Expired
M00575,Member 575,Female,44,Monthly,Badminton,2026-04-06,2026-05-06,Expired
M00576,Member 576,Female,40,Annual,Badminton,2026-07-12,2027-07-12,Active
M00577,Member 577,Female,48,Quarterly,Basketball,2026-07-01,2026-09-29,Active
M00578,Member 578,Female,64,Quarterly,Football,2025-09-10,2025-12-09,Expired
M00579,Member 579,Male,47,Quarterly,Football,2026-01-25,2026-04-25,Expired
M00580,Member 580,Male,64,Quarterly,Swimming Pool,2026-08-17,2026-11-15,Active
M00581,Member 581,Female,50,Monthly,Football,2025-09-13,2025-10-13,Expired
M00582,Member 582,Female,59,Monthly,Football,2026-03-26,2026-04-25,Expired
M00583,Member 583,Male,53,Monthly,Badminton,2025-01-10,2025-02-09,Expired
M00584,Member 584,Female,41,Monthly,Badminton,2025-08-30,2025-09-29,Expired
M00585,Member 585,Male,26,Quarterly,Swimming Pool,2025-09-08,2025-12-07,Expired
M00586,Member 586,Male,50,Monthly,Gym,2025-01-05,2025-02-04,Expired
M00587,Member 587,Male,23,Monthly,Swimming Pool,2025-04-29,2025-05-29,Expired
M00588,Member 588,Female,61,Monthly,Swimming Pool,2026-01-09,2026-02-08,Expired
M00589,Member 589,Female,29,Monthly,Basketball,2025-03-06,2025-04-05,Expired
M00590,Member 590,Male,25,Monthly,Basketball,2025-05-26,2025-06-25,Expired
M00591,Member 591,Female,17,Monthly,Swimming Pool,2025-08-12,2025-09-11,Expired
M00592,Member 592,Male,61,Monthly,Swimming Pool,2025-08-27,2025-09-26,Expired
M00593,Member 593,Male,24,Monthly,Swimming Pool,2025-06-26,2025-07-26,Expired
M00594,Member 594,Female,18,Monthly,Football,2025-10-09,2025-11-08,Expired
M00595,Member 595,Female,36,Quarterly,Basketball,2025-03-04,2025-06-02,Expired
M00596,Member 596,Female,41,Monthly,Swimming Pool,2025-08-05,2025-09-04,Expired
M00597,Member 597,Female,23,Monthly,Badminton,2026-04-06,2026-05-06,Expired
M00598,Member 598,Female,63,Quarterly,Badminton,2025-04-15,2025-07-14,Expired
M00599,Member 599,Female,17,Monthly,Football,2025-04-09,2025-05-09,Expired
M00600,Member 600,Male,21,Annual,Football,2026-05-26,2027-05-26,Active
